sequence,score
剛剛 説 武漢 回來 特別 留意 少許 集中 處理 工作,3.048328554927596
衞生 <MUMBLE> 中 心 說 <X> 發燒 或者 肺 發炎 病人 <BAD> 病 以前 去 武漢 曾經 日 十 四 時段,2.9084620553440144
泰國 確定 第 二 新 肺 炎 情況 病 哪裏來 武漢,1.7309815887201112
泰國 衞生 部門 負責人 有 關於 名字 地方 暖 武 召集 有 關於 新 其實  最近 有 真 証實 兩 內地 人 旅遊 健康 變 有,4.4335832453144715
監 警 會 延遲 遲 說 評估 警察 處理 活動 第 一 報告 不開心 人 主 團體 懷疑 偷偷地 借 口 延遲 遲,3.6012977033537514
內地 人 打 破壞 十 四 億 但是 出生 出生 出生 創作 一 九 五 二 至今 最 新 低,2.9035151485729376
這 這 情況 明白 人民 想 期待,1.4360346170826013
人 主 團體 懷疑 拖延 遲 有 關於 政治 <MUMBLE> 考慮 是不是 重複 再 閱讀 其實 早 說 影響 不,3.484493964411964
覺得 法 申請 重複 閱讀 申請 至今 有 甚麼 變 暫時 命令 其實 禁止 監 警 會 動作 包括 報告 沒,4.485327877335407
其實 偷偷地 人 變 少許,1.162061001439036
內地 人 最近 破壞 十 四 億 但是 出生 創作 年 一 九 五 二 至今 最 低 男 女 差距大 差距收窄,3.2033624834596193
新 出生 嬰兒 第 二 百分比 <MUMBLE> 內 五 七 百分比 繼續 加 加 有,1.9638466680918214
經濟 平衡 之後 好,0.9822980491138256
日本 環境 負責人 名字 出生 男 出生 <BAD> 休息 兩 星期 嬰兒 照顧 其實 變 <BAD> 氣氛 第 一 次 <BAD> 公 開 放假 照顧 嬰兒,5.217407394965854
名字 他 說 想 照顧 結婚 <BAD> 照顧 出生 意兒子 之後 三 個 月 一共 放假 兩 星期,3.453697284548467
其實 請假 請假 其實 困難 決定 其實 影響 工作 不,2.7645923857694896
放假 休息 過程 會 到 內 會議 <X> 電郵 視像 會議 會,2.640862774384264
雲 多 早上 涼 多區 最 低 溫度 十 七 新 界 溫度 <X> 十 六 十 五 <MUMBLE> 短 時間 有 光 最 高 溫度 二 十 左右 風 東 北 風 暴力 部分,3.2933448297615255
之後 二 日 三 日 部分 時間 光 下 星期 逐漸 暖 濕,1.7005896154977747
名字 陳 <MUMBLE> 說 錢 派 是不是 考慮 政府 負擔 要 說 下 期 經濟 赤字 加 會,2.3820672898835182
政府 研究 劏房 <X> 關於 租 管理 規則 陳 帆 希望 下 年 中 完成,2.3588688591859244
名字 紅 滿 釋放 完 準備 驅逐 飛 美國,1.5900069960184327
有 某些人 説 錢 派 其實 經濟 負責 名字 <MUMBLE> 説 現在 經濟 變 差,1.8201877176439805
 對於 部分 團體 這個團體 給他們 另 人 團體 沒 或者 政府 規則 內 複雜 這 <X> 他們 可能 不喜歡,3.9851406532367535
要 考慮 政府 負擔 能力 年 二 零 <BAD> 二 零 二 零 二 一 估 赤字 會 加 再 因為 收入 減少 完,3.009878258137759
簡單地説 要求 <MUMBLE> 個人 個人 一 萬 派 全部 鼓掌 有 全部 <BAD> 獲利,2.8047653630308957
政府 研究 怎樣 劏房 有 關於 租 管理 <MUMBLE> 貨物 屋 有權力的人 陳 帆 説 社 會 思考 一 樣 不能 二 零 二 零 年 中 完成 研究,3.7676681329135766
有 各種 多 想 互相關連,1.1641590869073588
情況 主 有權力的人 公 <BAD> 正常 公 平 決定 不,1.167387980258315
是不是 法官 做 現在 道歉 說 不 但是 全部 社 會 尊重 人 估 政府 有權力的人 會 七 月 說,2.740164992383572
監禁 年 年 十 七 釋放 完 驅逐 香港 飛到 美國 紐約 飛到,3.0657723266114685
監禁 監禁 年 十 七 快 接近 年齢 六 十 多 警察 多 警察 車 <X> 交通 電單車行駛 電單車 幫 其實 八 點 早上 其實 赤柱 車開走,4.625438524737816
消息 說 他 香港 身份證 沒 但是 美國護照,1.8583041842438446
釋放 完 帶 去 機場 驅逐,1.2377605996495271
警察 禁止 某些人 記者 插入 塞車 不理會 做 甚麼 警察 鎖 準備 突然 車駛走,3.8455096496989314
車 車行駛 西 區域 海 隧道,1.5612762644646063
跟 青 線 去 機場 警察 考慮 安全 道路 封閉,2.1067652859820276
名字 接近 差不多 八 點 五 十 機場 去 禁 區域,1.7291902356716373
有 警察 外 穿着背心 拿着槍 戴着頭盔 <BAD> 全套衣物 準備 拿着槍 保護,3.3051585163955544
內地 主 有權力的人 名字 習 開始 緬甸 第 二 日 探視 探視 訪問,3.3464773411912963
年 新 恭喜 攤位 明天 開始 去 銅鑼灣 草 看 準備 情況,2.3034828763812127
澳洲 東 下雨 幫 山火 情況 能 有 部分 區域 區域 區域 下雨 變 <MUMBLE> 一 樣 水浸,3.6918497435877358
繼續 七 日 新 恭喜 攤位 明天 開始 現在 玩具 各種 沒 其實 房間 <X> 花 有 信 心 有 部分 估計 人 蜂擁而至 減少,4.55851043187589
新 恭喜 <X> 攤位 二 一 六 有 玩具 各種 有 三 食 多 其實 現在 <BAD> 沒 玩具 各種 賣 沒 現在 闊,3.1513642336997636
以前 開始 一定 有 困難 但是,1.3727549349341492
警察 重複 說 交通 犯規 <BAD> 嚴 懲罰 懲罰 懲罰 過程 可能 會 懲罰 車 拖車 走,3.644150267096255
其實 數量 多 其實 延後 六 個 月 後 再 提訊,1.7925263656329644
裁判 負責 說 延後 五 月 八 日 再 提訊 可能 合理,2.180538251535612
配合 其實 警察 配合 研究 其實 控告 嚴重 禁止 釋放,3.1710789492821387
澳洲 東 區域 區域 區域 區域 暴雨 幫 解決 乾 情況 山 火 情況 但是 名字 士 州 新 南 威 州 <X> 下雨 嚴重 水浸,4.809861271644808
澳洲 <BAD> 士 東 南 一 百 年 第 一 次 暴雨 水浸 其實 海 金 <X> 下雨 一 百 五 十 幾 米 下雨 水浸,2.62697935721992
環保 屋 說 估 其實 健康 程度 幾多 請看右邊 新聞 完 再 見,2.676057814890597
中環 下午 有 集會 有 某些人 人 不滿 早 解散 集會 過程 有 警察 打人 警察 射槍 射槍 射槍 哭 驅逐 驅逐,6.773890177177011
武漢 最 新 有 關於 一 七 十 七 肺 情況 炎 情況 有 專家 覺得 新 肺 炎 武漢 有 小規模爆發,2.4786216343959144
名字 陳 波 說 完 政府 最近 年 十 有 經常 生活 支出 <MUMBLE> 誇張 研究 怎樣 減 退 稅 一 一 次 性 <X> 變 一 疊 錢 <X> 足夠 會,3.2684404012205603
不能 對於 便衣 警察 不能 為甚麼 某些人 <X> <MUMBLE> 不理會 打人,2.977263356304671
有 警察 受傷 <MUMBLE> 警察 湧到,1.330041709173004
救 負責 抬擔架 <X> 抬上 受傷 救護車,2.081688245821171
女 想 走向前 警察 推 完 警察 噴 甚麼 胡椒,1.8222850711871423
<MUMBLE> 警察 多 槍 <X> 各種 刀 手槍 準備 有 多 黑 衣服 排成 一 排 雨傘 雨傘 雨傘 對峙 警察 分成兩邊 雪  街 突然 某些人 各種 投擲 投擲 起火,6.756372722294885
鐵 <MUMBLE> 車 行駛 駕駛 其實 雨傘 雨傘 雨傘 車撞過去 入面 車 入面 有 警察 槍 保護,4.768959894366676
公主 商場 關於 各種 投擲 霸佔 街道,2.613193531290607
警察 商場 前方 遮 道 胡椒 噴 驅逐 人,1.9392924985274087
中環 下午 集會 要求 目的 主 變 政府 對 團體 人 要求 外國 政府 幹涉 香港 事 <X> 關於 懲罰 我 覺得 不高興,4.905579536731473
人 人 集會 <MUMBLE> 關於 遮 花園 中環 集會 有 警察 檢測 檢測 檢測,2.85317294828995
發現 防毒面具 手套 各種,1.735498383914177
<MUMBLE> 人 發現 有 關於 一 樣 病 開始 研究 流 感 病 各種,1.3840478368438232
但是 可能 有 某些人 限制 人 傳染 人,1.4665015497482194
但是 繼續 人 傳染 危險 可能 低,1.3835388261838968
香港 再 加 九 有 合符 一 樣 <MUMBLE> 懷疑 情況 全部 加 九 十 九,1.6751413673036233
專家 覺得 新 <X> <BAD> <BAD> 肺 炎 病 毒 <X> 武漢 社 區域 區域 爆發,2.1820247097255594
深入 找 不到 病 沒辦法 控制,1.6942351733055165
容易 社 區域 區域 加 傳染 <BAD> <X> 現在 人 傳染 人 高 不 但是 擔心 人 傳染 人 例如 親戚 近 或者 有 機會 傳染 會,4.318090270372194
正常 情況 政府 儲備 最少 要 月 月 二 十 政府 支出 現在 一 萬 一 千 億 幾 儲存 估 月 月 二 六 政府 支出,3.604665039197881
階段 有 評估 <MUMBLE> 下降 快 加 會,1.1725860423838008
題目 美國 日本 安 保 條約 簽約 年 年 六 十 日本 美國 同意 加 強 合作 關係,3.343288323239085
不 普通地 買 玩具 買 食物 真 多 買 花 入 多,1.2681613857090566
日本 政府 有權力的人 名字 安 三 東 東京 <MUMBLE> 到 日本 美國 關於 簽約 年 年 六 十 紀念 活動,3.2364683825541465
他 以前 年 六 十 <X> 美國 日本 合作 關係 仍然 堅固,2.336376115471456
內地 新 冠狀 病 毒 肺 炎 加 深圳 北京 <X> 發現 病,1.6038645438872021
香港 加 控制 環境 武漢 飛機到達 香港 要 <BAD> 其實 寫 關於 情況 怎樣,2.9757087106927784
<MUMBLE> 請看 <BAD> 有 武漢 肺 炎 加 加 加 深圳 北京 第 一 次 有 病 一 樣 複製 香港 未 有 一 樣 複製 北 京 <MUMBLE> <MUMBLE> 情況 怎樣,3.299880763081866
發源 爆發 新 冠狀 病 毒 肺 炎 武漢 接收 接收 醫療 中 心 加 防,2.742915425152078
<MUMBLE> 委員 說 <X> <BAD> 星期 六 星期日 六 十 六 男 七 十 女 病 年齡 二 五 至 八 九 內 一 死亡 二 危險 三 十 三 嚴重,2.220745255851715
上網 宣傳 文件夾 國 高 專家 團體 星期日 曾經 去 武漢 開會 去 華 南 海鮮 環境 看,3.7785956234651645
專家 團體 包括 以前 處理 年 二 零 零 三 沙 肺 炎 名字 內地 <BAD> 負責 鐘 山 香港 大 學 <X> 蟲 顯微鏡 名字 勇 教授,3.3798945449379216
北京 人民 醫院 病 到 或者 護士 各種 戴口罩 加強 額探 溫度 <X> 分開 給 口探 各種,4.2986639945747385
口探 最近 有 武漢 後 發生 直接 其實 開始 武漢 有 影響 要 人民 保護自己 要 北京 醫院 發燒 病 要 申請 兩 星期 以前 有沒有 去 武漢,6.034098057768838
覺得 要 信 政府 有 能力 解決 問題,1.5714074012993935
北京 健康 委員 會 大 成立 完成 工作 團體 關於 衞生 宣傳 交通 藥 管理 部門 部門 一起 開始 快 合作 溝通 防,5.352615404169916
外 部門 說 內地 責任 態度 關於 世界 衞生 有 關於 國 區域 區域 區域 區域 團體 香港 澳門 臺灣 說 資料 消息 合作 處理,6.472833165446633
深圳 爆發 有 第 一 次 有 冠狀 病 毒 肺 炎 有 八 人 分開 看 觀察 名字 鐘 深圳 看 新聞 訪問,3.16576154421508
但是 有 人 不理會 額探 溫度 額探 不 入 醫院 內 有 負責 全部 戴口罩,2.9558272864915716
傳染 大廈 走 有 人 防守 穿 保護 衣服 垃圾 噴 毒 噴灑 其實 衞生 健康 委員 有 年齡 六 十 六 深圳 屋 新 肺 炎 病,4.4364336694216515
不 保護自己 防 不 聽 他 完 多 戴 不 我 不怕 落 馬 洲 多 人 戴口罩 沒 無綫 報導 深圳,2.264556472485857
關於 肺 炎 加 內地 政府 做 強 管理 明天 開始 武漢 飛到 香港 全部 要 <BAD> 寫 健康 情況 怎樣 政府 報 環境 武漢 加 長 湖 北 範圍,4.703251021656415
政府 在 說 召集 開會 <X> 為 新 肺 炎 情況 怎樣 處理 政府 林 月 到 有 一 樣,1.8861743053396383
南 韓 有 新 病 病 肺 炎 情況 病 甚麼 武漢 內地 女 來 旅遊,1.353159902819203
名字 劉 昨天 評估 警察 決定 錯 <X> 混亂 負責 要 記得 記者 見面 完 警察 捉走 無綫 報導,4.560822000473508
中 聯 主任 名字 寧 人民 新聞 說 寫 說 香港 長 時間 立 國 安全 法 不 外國 某些人 力量 入侵 <BAD> 傳染 擴散 破壞 一 國 兩 制,4.318540128738528
中 聯 負責 仍然 以前 發生 政府 興建 完成 保護 國 安全 <MUMBLE> 法 <MUMBLE> 處理 <BAD>,2.788191022129378
香港 興建 發展 更好 無綫 報導,2.121539121436548
最 新 工作 失業 三 點 三 上升 <X> 年 二 半 高,1.0424050173145225
有 評估 研究 香港 繼續 年 十 香港 全世界 大廈 最 困難 喫不消 忍耐 飲 食 不 甚麼時候 買 樓 能 等等 說,3.9701321602941864
<MUMBLE> <MUMBLE> <MUMBLE> 最近 最 新 工作 失業 <X> 三 點 三 百分比 超 年 二 半 高,1.4508300366418254
建築 團體 工作 大廈 裝修 補 油油漆 各種 工作 失業 依然 嚴重 退步,4.1606033029166625
有 關於 反對 修改 法例 <MUMBLE> 加 早 關門 有 關 上 環境 差 旅遊 甚麼 餐廳 經濟 下降 <X> 多 關閉 關閉 關閉 以前 區域 區域 區域 <MUMBLE> 混亂,6.41630472420091
影響 多 餐廳 可能 人 去 減少 現在 全世界 經濟 比較 不太好,2.904682175964171
大家 會 節省 家 喫飯 變 外 喫飯 人 減少,1.8064109512873205
勞工 福利 屋 有權力的人 名字 羅 說 如果 整體 經濟 仍然 弱 勞工 環境 仍然 <BAD> 做 嚴重 壓力 政府 留意 甚麼 情況 無綫 報導,5.797757426915098
法 會 經濟 發展 事 委員 會 談 海洋公園 一 百 零 六 億 全部 新 決定 計劃 撥款 申請 多 議員 覺得 錢 誇張,3.714914374062301
現在 緊張 環境 經濟 困難 海洋公園 <BAD> 人 <MUMBLE> 政府 申請 一 百 零 六 億 四 千 萬 變 新 繼續 周轉 能 法 會 議員 覺得 這 錢 誇張,4.1171826311607065
這 誇張 錢 真 小事 不 <BAD> 困難 支持 一 百 零 六 億 支出,1.9134840308201058
其實 每 一 項 十 計劃 新,0.5255042976829448
委員 最後 批准 名字 思 榮 支持 政府 計劃 資助 <MUMBLE> 交給政府 經濟 委員 會 談 其實 簽約 有 政府 評估 交給大家 報告 要,5.060416661715987
來 年 一 半 我 覺得 自 準備 完成 我 幫 去 比賽,1.2354442256007099
天氣 情況 雲 多 明天 短 時間 陽光 溫度 一 七 至 二 一 風 東,1.9240960668916722
海 附近 暴力 風 未來 一 日 兩 日 三 日 天氣 變 暖 濕 求 放假 變 涼 下雨,2.035647089510758
內地 肺 新 加 三 百 幾 這 去 <MUMBLE> 去 去 加 六 武漢 去 來 管理 嚴 加,0.8208880526212601
現在 開始 武漢 飛回 香港 人 申請 身體 健康 情況 告訴 <MUMBLE> 政府 可能 加 闊,3.4264485429860816
請看 名字 川 武漢 <MUMBLE> 型 新 冠狀 肺 加 繼續 內地 加 二 九 八 死亡 加 六 臺灣 發生 一 有,3.124985018175624
浙 江 天津 這 這 說 五 十 二 証實 真 有 臺灣 發生 一 有,1.609046748281233
多 不怕 能 擔心 不怕 會 我 如果 我 <BAD> 會 擔心 現在 戴口罩 以上 兩 星期 汗 新聞 普通地 昨天 發現 北京 發現 有 北京西 這 從這個地方擴散出去 人 多,5.548837871601812
外國 交流 團體 訊問 訊問 <MUMBLE> 計劃 準備 去 去 去 外國 冠狀 肺 計劃 規則 要 防 身體 健康 自 安排 自己想 要 報導 這位,5.577030800457457
現在 暫時 香港 股 情況 差不多 二 萬 八 千 <BAD> 升降 不定 如果 最後 下去 <MUMBLE> 二 千 七 八 左右,3.4146224094245183
這 公司 家 説 個人 資料 告密 告密 加 私人 政府 這 這 一 樣 有 名字 這位 報導,3.846847961570725
辯駁 説 甚麼 説 警察 給我 委員 證件 能 有 權 <MUMBLE> 延後 四 月 二 四 日 再 審判,2.8461236560289143
月 全部 上升 上升 港鐵 加 影響 甚麼,1.8047479487437799
加拿大 法 審理 關於 華為 這 副 董 有權力的人 名字 晚 捉到 這 情況,2.60833880887421
十 二 月 <BAD> 上升 上升 <MUMBLE> 百分比 比 十 一 月 輕 一 點 一 百分比 計算 總 計算 港鐵 加 <MUMBLE>,2.7781190867318486
選 管 會 立 立 香港 島 新 界 東 這 這 補 補 安排 不,0.4757833534899135
加拿大 法 屋 準備 審理 內地 電 <BAD> 董 有權力的人 名字 晚 女 現在 給她 答 答 答 晚 他 加拿大 違法 沒 華為 估 這 法 能 証實 他 乾淨,4.1774828934810015
<BAD> 風 或者 <MUMBLE> 下雨 小 <MUMBLE> 最近 一 二 涼 下雨 加 會,1.2561329435184883
幫 屋 說 空氣 質素 健康 危險 風 多少 數 請看 中,2.350640459217846
說 香港 有 錯 第 一 肺 炎 情況 男 他 高鐵 深圳 來 香港 曾經 去 武漢,2.1478680224516253
澳門 一 樣 有 第 一 病 毒 肺 炎 內地 加 全部 四 百 六 十 人 死亡 病 九 死亡,1.498313347727633
海 關 看 船 機場 對開 沉船 三 負責 死亡,1.9548187729796767
其實 香港 政府 會 考慮 分開 屋 真 調遷 這 另 中 心 評估 要不要 上課 停 關門 公 開 活動 停 團體 團體 團體 團體,4.555852458408207
現在 內地 病 全部 六 百 四 十 其實 湖 北 內 三 百 七 十 五 死亡 死亡 死亡 死亡 加 九 北京 內 有 十 廣東 二 六 病 另 澳門 臺灣 一 一,3.731172541617434
內 澳門 病 <BAD> 武漢 回來 女 經濟 人 澳門 過程 曾經 去 住 酒店 <X> 賭博 來 去 全部 朋友 三 分開 檢測,4.310159585541709
估 計算 未 送 醫院 以前 傳染 比較 低,1.6079868584820691
她 容易 暴力 傳染 不,0.9615064145509354
澳門 衞生 屋 說 多 地方 口罩 賣 沒 考慮 澳門 身份 身份證 能 買 <MUMBLE>,2.592743409220587
 法例 來貨 口罩 首先 給 我們 人民,2.0669624067936927
另 賣 賣 賣 口罩 限制不會,1.2236736041446608
澳門 政府 說 每日 留意 口罩 積存 情況 內地 溝通 要求 給 多 口罩 澳門 會,3.792019044076652
內地 負責 說 確定 新 冠狀 病 毒 肺 炎 非 違法 動物 這 賣 社 區域 <X> 傳染 病 毒 變 會 情況 加 大,2.8121233331802746
國 衞生 健康 委員 會 部門 北京 記 召集 記者 國 防 中 心 病 病 <BAD> 冠狀 <BAD> 肺 炎 人 傳染 人 有,2.7483714630274187
看到 發生 社 區域 區域 區域 傳染 其實 源頭 甚麼 他 以前 海鮮 街 <MUMBLE> 可能 有 關於 接觸 甚麼 外 甚麼 動物,5.640858763223413
對 小朋友 或者 年幼 小朋友 傳染 流 <BAD> 容易 傳染 不,2.449059216492226
<MUMBLE> 現在 留意 重要 公開 每日 宣傳 堅持 會 包括 新 恭喜 安排 直到,3.615678274164088
美國 <X> 病 新 冠狀 病 毒 肺 炎 曾經 飛去 武漢,1.7290307048383355
病 年齡 三 十 幾 男 房子 華 州 現在 西 圖 附近 醫院 接收 分開 治療 情況 沒問題,3.6205142783382485
上星期 武漢 回來 美國 發生 病 他 去 懷疑 源頭 海鮮 街 沒,2.881649990639872
環境 <BAD> 黑 警察 會 深入 研究 真 <MUMBLE> 情況 怎樣,1.8327656605750944
沉船 海 關 例如 船 這 差不多 用 年 三 半 其實 有 準備 雷達 新 <MUMBLE> 計算 <X> 如果 船 小 <MUMBLE> 可能 有問題,3.6093936838529297
名字 強 說 處理 <MUMBLE> 反對 修改 法 爆發 過程 警察 部分 情況 有 有問題,3.0115143837122047
美國 有 關於 <MUMBLE> 其實 政府 特朗普 懲罰 溝通,2.0121985393434687
第 二 <BAD> 多個區域 開會 其實 警察 屋企 有權力的人 名字 強 <MUMBLE> 荃灣 解釋 工作 <MUMBLE> 主動 希望 <BAD> 合理 合理 溝通 責罵我 沒所謂 但是 浪費 大家 時間,6.844534486337895
區域 區域 區域 要 身份 示範 違法 不能 但是 可惜 另 區域 區域 議員 有 事 拘捕 拘捕 破壞 人 過程 想 幹涉 開始 拘捕,6.622621695395756
白色 衣服 籐 打 人 錯 黑 衣服 一 樣 射水喉 滅 火 射 一 樣 錯,1.6691211025504793
黑 社會 懲罰 我 不高興 黑 社會 對立,1.923288504888942
名字 樹 和 包括 議員 信 以前 名字 另 名字 鄺 議員 熟悉 比 名字 樹 和 其實 警察 反對 修改 法 直到 有沒有 弊病,4.727235037214105
海 關 第 一 次 <X> 捉 能 上網 代 買 偷偷地 假 貨物 拘捕 五 人,1.4797700486075716
系統 研究 這 其實 有 部分 不斷改變 會,1.8883915787272212
