ID,Decoded Sentence,Target Sentence,Accuracy
2020-02-03/021513-021593,"['香港', '個', '三', '藥', '<MUMBLE>', '誇張', '全部', '<BAD>']","['香港', '仍然', '一', '五', '新', '人', '肺', '炎']",0.125
2020-02-03/025528-025763,"['有', '再', '重複', '<X>', '未來', '半', '<X>', '<X>', '其他', '國', '立', '英國', '會', '再', '真', '<X>', '肺炎', '<X>']","['政府', '做', '不', '外國', '政府', '覺得', '香港', '沒', '事', '感覺', '另', '國', '跟', '做', '死亡', '死亡', '<BAD>', '<BAD>']",0.0
2020-02-03/032083-032159,"['今', '溫度', '十', '一', '濕', '百分比', '七', '十', '']","['今', '溫度', '一', '九', '濕', '百分比', '七', '四', '<BAD>']",0.5555555555555556
2020-02-05/007877-008143,"['地鐵', '二', '研究', '研究', '研究', '命令', '十', '年', '十', '命令', '男', '香港', '包括', '懲罰', '他', '他', '少', '比', '打', '打', '但是', '但是', '高']","['急', '不', '變', '急', '等', '久', '今', '知', '擔心', '有', '如果', '去', '前', '有', '某人', '感染', '有', '我', '去', '不', '說', '真', '<BAD>']",0.0
2020-02-05/018206-018350,"['再次', '大廈', '路', '二', '二', '九', '四', '四', '月', '有', '<BAD>']","['口罩', '買', '賣', '有', '區域', '區域', '看', '通宵', '看', '天天', '看']",0.0
2020-02-07/003206-003539,"['<MUMBLE>', '貨', '完', '支持', '支持', '隊', '資料', '組', '這', '支持', '外', '<BAD>', '如何', '社會', '負責', '負責', '新聞', '找', '關於', '關於', '發展', '重要', '找', '屋', '說', '困難', '困難', '困難', '未', '未']","['入境', '人', '入', '真', '地址', '給我', '告訴', '要', '如果', '迫', '住', '這', '全部', '資料', '寄', '會', '全部', '資料', '家人', '分開', '不要', '但是', '家人', '探訪', '不能', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-07/019728-019816,"['全部', '時間', '地方', '目的', '香港', '股票']","['新聞', '時間', '看', '香港', '<MUMBLE>', '情況']",0.16666666666666666
2020-02-08/007611-007804,"['現在', '冠狀病毒', '<BAD>', '真', '真', '早上', '奧運', '甚麼', '甚麼', '長', '首先', '防', '防', '接受', '接受', '接受', '<BAD>', '<BAD>']","['', '嚴', '管', '有關', '一', '百', '六', '一', '真', '內', '有', '香港', '人', '一', '百', '四', '三', '人']",0.0
2020-02-08/011641-011912,"['香港', '香港', '甚麼', '<BAD>', '能', '包括', '包括', '安排', '能', '批准', '能', '內地', '內地', '有', '內地', '不同', '不同', '保護', '要', '清楚']","['小心', '處理', '專業', '建議', '全部', '船', '內', '員工', '全部', '新', '肺', '炎', '化驗', '評估', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-08/020066-020235,"['香港', '議員', '議員', '人', '人', '上', '取', '取', '月', '前', '強', '強', '強', '<BAD>']","['有', '某些', '取', '票', '不能', '房', '內', '爭吵', '浪費', '我', '時間', '排隊', '五', '小時']",0.0
2020-02-10/013113-013335,"['美國', '超', '五', '男', '二', '關於', '工作', '好', '其實', '調查', '訪問', '訪問', '德', '酒吧', '停', '普通', '內', '內', '病']","['政府', '做', '有', '考慮', '清楚', '要否', '放', '酒精', '搓手', '或者', '防', '其他', '放', '放', '要否', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-10/018008-018187,"['真', '議員', '組', '組', '真', '美國', '時', '<X>', '組', '北', '好', '真', '<MUMBLE>', '<X>', '組', '小', '申請', '權力']","['名字', '名字', '上', '流', '生', '生', '非', '英文', '電影', '讚賞', '好', '電影', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.05555555555555555
2020-02-11/026086-026422,"['特別', '法', '今', '零', '零', '零', '一', '二', '多', '人', '多', '上升', '多', '給', '傳染', '感染', '傳染', '降下', '第', '第', '一', '六', '期間', '一', '點', '去', '少', '病', '去', '病']","['美國', '組', '法', '控告', '內地', '軍', '會', '四', '懷疑', '信', '入', '資料', '取', '一', '點', '五', '億', '人', '個人', '資料', '北京', '外', '<MUMBLE>', '控告', '反對', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-16/027861-028124,"['旺角', '記者', '飛機', '樓', '樓', '<BAD>', '香港', '大廈', '接收', '法', '跟', '計劃', '活動', '年', '年', '年', '活動', '開始', '內地', '<BAD>', '<BAD>']","['今', '<MUMBLE>', '懷疑', '病', '或者', '衞生', '細胞', '病', '毒', '發燒', '人', '今', '這', '人', '証實', '接觸', '人', '這些', '分離', '分離', '管理']",0.0
2020-02-18/004971-005145,"['臺灣', '臺灣', '林', '五', '<MUMBLE>', '零', '五', '五', '百分比', '減', '保護', '<BAD>', '澳門', '最後', '比賽', '房', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['部分', '人', '香港', '証實', '証實', '証實', '可能', '要', '等', '兩', '星期', '至', '三', '星期', '後', '入院', '這', '完', '走', '能']",0.0
2020-02-20/001142-001252,"['今', '差不多', '工作', '肺', '肺', '有關', '到', '五', '死亡', '死亡', '傳染']","['另', '的士', '司機', '今', '暫時', '有', '病', '傳染', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-20/014292-014423,"['全部', '人', '學生', '超', '樽', '做', '全部', '全部', '回答', '回答', '英國', '投票', '法', '會', '<BAD>']","['計算', '昨天', '第', '一', '批准', '部分', '船', '人下船', '有', '另', '五', '百', '人', '船', '人下船']",0.0
2020-02-20/026018-026331,"['人', '<BAD>', '組', '美國', '議員', '議員', '可能', '<MUMBLE>', '另', '另', '另', '開', '陽光', '完', '能', '限制', '遲', '希望', '希望', '政府', '有', '今', '完成', '生意', '完成', '參加', '能', '名字', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['教育', '屋', '說', '香港', '全部', '學校', '最', '早', '三', '月', '十', '六', '日', '復', '課', '但是', '定', '日期', '我', '看', '情況', '病', '病', '如何', '學校', '準備', '遲', '全部', '口罩', '清理', '各種', '準備', '完成', '再', '決定']",0.0
2020-02-22/004739-004915,"['外', '指', '指', '指', '指', '指', '七', '接觸', '名字', '警察', '警察', '警察']","['希望', '大家', '知道', '剛才', '多謝', '國泰', '飛機', '員工', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-22/016647-016895,"['檢測', '檢測', '題目', '肺', '報告', '香港', '第', '一', '零', '四', '完', '完', '完', '外國', '減少', '下', '一', '有', '飛機', '完']","['意大利', '命令', '完', '飛機', '接收', '全部', '船', '內', '人', '返', '意大利', '發生', '死亡', '情況', '一', '死亡', '地方', '北', '威', '屬於']",0.0
2020-02-22/017018-017240,"['內地', '工', '變', '貨', '歐洲', '變', '自', '信', '一', '有', '中', '全部', '跟', '新聞', '全部', '管理', '規則', '全部', '留', '全部']","['今年', '一直', '新界', '北', '說', '便利店', '打劫', '打劫', '加', '十', '一', '拘捕', '三', '年輕', '有關', '多', '打劫', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-22/019866-020039,"['暴力', '這', '這', '這', '站', '<X>', '行為', '政府', '百分比', '想', '想', '香港', '二', '病', '合作']","['想', '影響', '混亂', '研究', '模糊', '誤會', '不同', '人', '全部', '合作', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-25/023933-024222,"['現在', '記者', '加', '不能', '男', '男', '新聞', '全部', '這', '美國', '管理', '負責', '美國', '分開', '記', '家', '負責', '數', '負責', '爆發', '留', '']","['出錢', '這', '甚麼', '人們', '老', '這些', '加價', '加價', '後', '或者', '醫療', '或者', '社', '福利', '出錢', '出錢', '肯定', '上升', '會', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-02-27/012889-013171,"['有', '水', '說', '安全', '因為', '月', '六', '放棄', '考試', '考試', '這', '有', '另', '另', '某些', '某些', '管理', '工', '工', '管理', '旅遊', '旅遊', '取消', '影響']","['國', '組', '名字', '名字', '鍾', '說', '信心', '能', '內地', '管', '能', '肺', '肺', '今', '即刻', '來源', '內地', '這', '哪裡', '來', '肯定', '內地', '不一定', '<BAD>']",0.0
2020-02-29/009754-010051,"['國', '衞生', '一', '名字', '最', '最', '隊', '有關', '後', '新', '隊', '點', '百分比', '百分比', '信', '準備', '高', '有', '線', '定', '日本', '教育', '七', '期間', '之後', '數', '病毒']","['真', '真', '某些', '專業', '發現', '新型冠狀', '肺', '炎', '人', '傳', '人', '容易', '多', '人', '人', '傳染', '感染', '少', '直接', '接觸', '人', '感染', '少', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-01/007862-008109,"['說', '再', '關', '有', '機會', '有', '三', '心', '未', '另', '信', '是不是', '是不是', '是不是', '反對', '真', '非', '非']","['懷疑', '有', '兩', '定', '有', '肺', '炎', '有', '兩', '懷疑', '公主', '鑽石', '化驗', '有', '病', '毒', '防', '<BAD>']",0.0
2020-03-01/011098-011223,"['早上', '早上', '可能', '方法', '有', '三', '雨', '溫度']","['知道', '有', '過程', '解剖', '<BAD>', '這', '研究', '<BAD>']",0.0
2020-03-01/013596-013856,"['臺灣', '方法', '一', '員工', '感染', '感染', '感染', '議員', '議員', '議員', '員工', '員工', '名字', '名字', '支持', '臺灣', '對於', '對於', '<BAD>', '<BAD>', '<BAD>']","['目的', '鼓勵', '自', '控制', '錢', '支出', '有', '<MUMBLE>', '想', '申請', '困難', '最', '困難', '甚麼', '找', '錢', '合理', '有', '貨', '布', '各種']",0.0
2020-03-02/008859-008959,"['香港', '說', '肺', '炎', '不', '能', '<BAD>', '<BAD>', '<BAD>']","['有', '部分', '工作', '要', '做', '家', '內', '不', '方便']",0.0
2020-03-02/018685-018871,"['真', '事', '屋', '感染', '未來', '樓', '樓', '飛機', '飛機', '過程', '關閉', '要', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['金', '管', '屋', '說', '樓', '或者', '反口', '反口', '真', '真', '要', '時間', '看', '要否', '給', '容易', '計劃', '規則']",0.05555555555555555
2020-03-02/026925-027090,"['他', '超', '恢復', '說', '船', '分開', '自', '花', '花', '研究', '北京', '包括', '<BAD>', '<BAD>']","['瞭解', '詳細', '康', '文', '全部', '資源', '附近', '街', '或者', '地方', '起名', '名字', '會', '<MUMBLE>']",0.0
2020-03-03/008737-008970,"['C', '政府', '內地', '他們', '去', '去', '幫', '嚴', '法', '會', '嚴', '管', '說', '減', '減', '上升', '一', '千', '即', '大約', '千', '<BAD>', '<BAD>', '<BAD>']","['要', '想', '快', '安排', '返', '香港', '檢測', '工', '聯', '會', '建', '規則', '組', '覺得', '要', '兩地', '這裡', '遠', '要', '接收', '接收', '返', '香港', '要']",0.041666666666666664
2020-03-05/032346-032489,"['天氣', '天氣', '天氣', '天氣', '他', '他', '嚴', '關閉', '地方', '地方', '地方', '<BAD>', '<BAD>']","['風', '東', '未來', '兩', '天', '三', '天', '變', '暖', '早', '晚', '霧', '有']",0.0
2020-03-06/012384-012552,"['<MUMBLE>', '馬', '地鐵', '處理', '比賽', '上網', '上網', '上網', '合作', '化驗', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['今', '計算', '全部', '五', '百', '全部', '計算', '計算', '超', '一', '半', '西', '北', '地方']",0.0
2020-03-06/027596-027745,"['好像', '議員', '現在', '<BAD>', '完', '不能', '剛剛', '不能', '地區', '情況', '地區', '口罩', '口罩']","['如果', '一', '點', '四', '死亡', '百分之', '意思', '多', '多', '多', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-08/014718-014890,"['<MUMBLE>', '一定', '<MUMBLE>', '死亡', '<BAD>', '小時', '小時', '服務', '服務', '這', '評估', '屋', '規則']","['今', '真', '真', '真', '泊船', '時間', '不知', '知', '我們', '急', '快', '送', '回家']",0.0
2020-03-09/022297-022528,"['另', '新聞', '新聞', '說', '命令', '命令', '命令', '談', '德', '檢測', '破壞', '加', '交流', '解釋', '入', '決定', '<BAD>', '特別', '或者', '或者', '權', '<BAD>', '<BAD>', '<BAD>']","['新', '公開', '有關', '買', '超', '一', '千', '幾', '千', '倍', '倍', '真', '名字', '名字', '興', '有關', '穩定', '仍然', '股票', '高', '二', '十', '百分比', '<MUMBLE>']",0.0
2020-03-09/024210-024411,"['南', '南', '時間', '有', '三', '萬', '完', '以前', '喫', '部分', '部分', '數', '宿舍', '<BAD>', '<BAD>', '<BAD>']","['可能', '有', '部分', '有', '用', '能', '例如', '聯絡', '已經', '海', '關', '同', '事', '幫', '幫', '有']",0.0625
2020-03-11/000661-000905,"['某人', '剛剛', '超', '超', '成功', '成功', '後', '今', '年', '二', '今', '降下', '旅遊', '仍然', '普通', '會', '估計', '會', '香港', '保護', '環境', '機會', '機會']","['多', '國', '旅遊', '限制', '嚴重', '影響', '旅行團', '公司', '經濟', '組', '希望', '政府', '宣傳', '多', '另', '補', '解決', '困難', '方法', '規則', '計劃', '<BAD>', '<BAD>']",0.0
2020-03-11/029752-029847,"['真', '負責', '房', '不', '完', '暫時', '<BAD>', '<BAD>', '<BAD>']","['死亡', '死亡', '人', '家', '人', '有關', '人', '說', '道歉']",0.0
2020-03-14/004354-004680,"['有', '負責', '沒', '男', '<BAD>', '三', '飛機', '三', '內', '高', '高', '高', '少', '限制', '少', '傳染', '傳染', '危險', '化驗', '人', '保護', '真', '國', '國']","['說', '有否', '機會', '傳染', '真', '困難', '說', '入院', '全部', '控告', '呼吸道', '感染', '情況', '看', '沒', '發燒', '沒', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-14/005985-006209,"['外', '拘捕', '寫', '樓', '人', '寫', '三', '八', '三', '真', '人', '真', '八', '全部', '真', '控告', '人', '資料', '北京', '不']","['海', '關', '賣', '賣', '發現', '四', '口罩', '菌', '超', '要求', '拘捕', '四', '藥', '房', '負責人', '說', '全部', '用', '不能', '<BAD>']",0.0
2020-03-14/011505-011657,"['未來', '天', '九', '知道', '要', '華', '要', '提醒', '提醒', '人', '是不是', '提醒', '<BAD>', '<BAD>']","['政府', '說', '有', '關', '各地', '各地', '各地', '情況', '會', '看', '如何', '變', '方法', '會']",0.0
2020-03-14/018136-018254,"['早', '開始', '附近', '時', '時', '<MUMBLE>', '曾經', '曾經', '曾經', '曾經', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['三', '月', '變', '暖', '多', '各區', '各區', '各區', '花', '花', '花', '等', '恢復', '看', '花']",0.0
2020-03-16/018916-019187,"['美國', '星期', '計劃', '十', '十', '新冠肺炎', '懷疑', '檢測', '這', '商場', '晚上', '外國', '餐廳', '警察', '酒吧', '關於', '關於', '外國', '<X>', '即刻', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '快', '下', '星期', '二', '命令', '第', '二', '飛機', '到', '湖北', '香港', '幹涉', '接收', '接收', '武漢', '武漢', '城巿', '全部', '計算', '計算', '七', '百', '幾']",0.0
2020-03-18/007269-007403,"['保護', '內', '內', '好', '好', '可能', '現在', '多', '少', '<BAD>']","['給', '能', '檢測', '化驗', '樣本樽', '給', '給', '給', '人人', '能']",0.0
2020-03-18/019017-019295,"['政府', '問', '說', '說', '工作', '<MUMBLE>', '<MUMBLE>', '工作', '工作', '月', '月', '急', '基本', '基本', '海', '買', '買', '幫', '説', '調查', '分開', '附近', '錢', '時間', '重要']","['美國', '推卸', '責任', '代', '減', '輕', '美國', '內', '病', '不', '外', '交', '部', '發表', '說', '提醒', '美國', '要', '變', '防', '工作', '處理', '好', '<BAD>', '<BAD>']",0.0
2020-03-19/000383-000581,"['另', '準備', '一', '人', '委員會', '人', '委員會', '人', '兩', '人', '大', '部分', '評估', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['再', '加', '人', '一', '六', '証實', '肺', '新型冠狀', '再', '包括', '有', '孕婦', '計算', '累計', '超', '二', '百']",0.0
2020-03-19/013822-014138,"['年', '年', '年', '不能', '不能', '五', '五', '五', '二', '月', '部分', '三', '五', '三', '負責', '其實', '<MUMBLE>', '有', '九', '月', '比賽', '世界', '世界', '世界', '世界', '入', '不能', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['計算', '全部', '二', '千', '六', '百', '死亡', '一', '百', '零', '四', '學校', '星期', '五', '下午', '即', '課', '停', '五', '月', '六', '月', '考試', '取消', '取消', '會', '包括', '中學', '公開', '這', '考試']",0.03225806451612903
2020-03-20/018040-018164,"['香港', '人', '月', '個', '這', '這', '後', '半', '人', '回來', '上升', '<BAD>']","['香港', '股票', '反', '上升', '一', '千', '一', '星期', '跌', '半', '一', '樣']",0.08333333333333333
2020-03-23/002381-002473,"['政府', '來', '接受', '了', '提醒', '提醒', '最', '<BAD>', '<BAD>']","['政府', '權', '林', '月', '說', '要', '真', '限制', '限制']",0.1111111111111111
2020-03-23/008811-008948,"['美國', '十', '內地', '新型冠狀', '調查', '英', '澳門', '命令', '不同', '打']","['要', '想', '問', '大家', '善良', '心', '能', '看', '努力', '<BAD>']",0.0
2020-03-23/020664-020843,"['醫', '人', '大', '說', '開', '開', '傳染', '傳染', '報告', '<X>', '信', '信', '管理', '我', '做', '瞭解', '不要']","['第', '一', '關', '違反', '命令', '家', '留', '提訊', '被告', '假', '地址', '禁止', '釋放', '暫時', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-23/027254-027333,"['', '外', '完成', '完成', '自', '自', '<BAD>', '<BAD>', '<BAD>']","['要求', '全部', '美國', '入境', '先', '要', '自', '隔離', '留']",0.0
2020-03-24/021473-021661,"['香港', '命令', '<BAD>', '不同', '不同', '人', '記', '關閉', '<MUMBLE>', '幫', '幫', '一', '人', '<X>', '領袖', '情況', '五', '五']","['香港', '有權力的人', '林', '月', '行政', '以前', '會議', '以前', '說', '名字', '張', '法', '主', '他', '厲害', '<BAD>', '<BAD>', '<BAD>']",0.05555555555555555
2020-03-25/009415-009508,"['少', '估', '餐廳', '懲罰', '區域', '沒', '要']","['政府', '努力', '管理', '情況', '<BAD>', '<BAD>', '<BAD>']",0.0
2020-03-25/009807-010134,"['政府', '負責', '中', '說', '限制', '限制', '星期', '包括', '考試', '考試', '困難', '有', '政府', '<BAD>', '<BAD>', '<BAD>', '政府', '星期', '規則', '方法', '甚麼', '服務', '服務', '有', '華', '國', '其他', '配合', '配合', '安排', '<BAD>', '<BAD>']","['政府', '電腦', '各種', '活動', '管理', '但是', '工作', '飛機', '人', '多', '人', '回來', '上', '星期', '回來', '人', '每天', '減少', '昨天', '三', '千', '過程', '第', '三', '藍', '牙', '手帶', '代替', '最近', '手帶', '管理', '手帶']",0.03125
2020-03-25/016215-016365,"['政府', '喫飯', '喫飯', '新', '大約', '時間', 'C', '有關', '有關', '寫', '寫', '名字', '飛機']","['政府', '繼續', '考慮', '給', '飛機', '接收', '五', '百', '湖', '北', '人', '回來', '香港']",0.07692307692307693
2020-03-25/017149-017350,"['東', '突然', '突然', '經濟', '包括', '林', '人', '月', '林', '飛機', '未來', '等', '等', '晚上', '拘捕', '拘捕', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['政府', '繼續', '兩', '天', '真', '級', '四', '飛機', '飛機', '飛去', '湖', '北', '接收', '五', '百', '坐', '香港', '人', '四', '分', '一', '歲', '十', '六', '以下']",0.0
2020-03-26/026801-026947,"['有', '看', '看', '三', '要', '時間', '時間', '時間', '時間', '不能', '不能', '成功']","['方便', '時間', '節省', '能', '事實', '排隊', '沒', '清理', '工作', '很好', '<BAD>', '<BAD>']",0.0
2020-03-27/012169-012322,"['政府', '說', '開始', '開始', '給', '給', '九', '酒店', '經濟', '不能', '不能', '<BAD>']","['任何', '人', '想', '好', '工作', '仍然', '我們', '聆聽', '建議', '視乎', '知道', '情況']",0.0
2020-03-27/025501-025801,"['這', '病', '病', '情況', '這', '爆發', '生意', '機構', '他', '站', '有', '一', '次', '用', '真', '英國', '要', '日本', '要', '<BAD>', '<BAD>']","['廣東', '加強', '出入', '防', '澳門', '人', '湧到', '通宵', '湧到', '想', '新', '計劃', '<MUMBLE>', '以前', '快', '到', '珠海', '駐', '澳門', '記者', '請看']",0.0
2020-03-27/032143-032493,"['明天', '會', '違反', '聯', '聯', '聯', '行為', '行為', '談', '談', '北', '幫', '多', '嚴', '有關', '有關', '容易', '容易', '散播', '幹涉', '明白', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>', '<BAD>']","['明早', '轉', '<MUMBLE>', '東', '北', '至', '東', '北', '未來', '會', '下雨', '一', '日', '兩', '日', '濕', '霧', '早上', '會', '溫暖', '現在', '氣溫', '二', '十', '五', '濕度', '八', '十', '八', '百份比']",0.0
2020-03-28/011617-011769,"['食物', '八', '人', '香港', '外', '差不多', '差不多', '即刻', '剛剛', '考試', '其實', '百', '參加', '見面']","['規矩', '內', '目的', '甚麼', '希望', '想', '人', '聚集', '禁止', '<BAD>', '防', '傳染', '<BAD>', '<BAD>']",0.0
2020-03-28/016819-016930,"['政府', '今日', '今日', '完成', '証實', '死亡', '四', '四', '聚集', '會', '<BAD>']","['美國', '冠狀', '肺', '炎', '加', '加', '加', '一', '萬', '九', '千']",0.0
